,Emoji,Unicode,Hex
179,🫶🏿,b'\\U0001faf6\\U0001f3ff',b'\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbf'
180,👐🏻,b'\\U0001f450\\U0001f3fb',b'\xf0\x9f\x91\x90\xf0\x9f\x8f\xbb'
181,👐🏼,b'\\U0001f450\\U0001f3fc',b'\xf0\x9f\x91\x90\xf0\x9f\x8f\xbc'
182,👐🏽,b'\\U0001f450\\U0001f3fd',b'\xf0\x9f\x91\x90\xf0\x9f\x8f\xbd'
183,👐🏾,b'\\U0001f450\\U0001f3fe',b'\xf0\x9f\x91\x90\xf0\x9f\x8f\xbe'
184,👐🏿,b'\\U0001f450\\U0001f3ff',b'\xf0\x9f\x91\x90\xf0\x9f\x8f\xbf'
185,🤲🏻,b'\\U0001f932\\U0001f3fb',b'\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb'
186,🤲🏼,b'\\U0001f932\\U0001f3fc',b'\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbc'
187,🤲🏽,b'\\U0001f932\\U0001f3fd',b'\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbd'
188,🤲🏾,b'\\U0001f932\\U0001f3fe',b'\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe'
189,🤲🏿,b'\\U0001f932\\U0001f3ff',b'\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbf'
190,🤝🏻,b'\\U0001f91d\\U0001f3fb',b'\xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbb'
191,🤝🏼,b'\\U0001f91d\\U0001f3fc',b'\xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbc'
192,🤝🏽,b'\\U0001f91d\\U0001f3fd',b'\xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbd'
193,🤝🏾,b'\\U0001f91d\\U0001f3fe',b'\xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbe'
194,🤝🏿,b'\\U0001f91d\\U0001f3ff',b'\xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbf'
195,🫱🏻‍🫲🏼,b'\\U0001faf1\\U0001f3fb\\u200d\\U0001faf2\\U0001f3fc',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbc'
196,🫱🏻‍🫲🏽,b'\\U0001faf1\\U0001f3fb\\u200d\\U0001faf2\\U0001f3fd',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbd'
197,🫱🏻‍🫲🏾,b'\\U0001faf1\\U0001f3fb\\u200d\\U0001faf2\\U0001f3fe',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbe'
198,🫱🏻‍🫲🏿,b'\\U0001faf1\\U0001f3fb\\u200d\\U0001faf2\\U0001f3ff',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbf'
199,🫱🏼‍🫲🏻,b'\\U0001faf1\\U0001f3fc\\u200d\\U0001faf2\\U0001f3fb',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbb'
200,🫱🏼‍🫲🏽,b'\\U0001faf1\\U0001f3fc\\u200d\\U0001faf2\\U0001f3fd',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbd'
201,🫱🏼‍🫲🏾,b'\\U0001faf1\\U0001f3fc\\u200d\\U0001faf2\\U0001f3fe',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbe'
202,🫱🏼‍🫲🏿,b'\\U0001faf1\\U0001f3fc\\u200d\\U0001faf2\\U0001f3ff',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbf'
203,🫱🏽‍🫲🏻,b'\\U0001faf1\\U0001f3fd\\u200d\\U0001faf2\\U0001f3fb',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbb'
